filename, class_number, a_angle, e_angle
AcrimSAT_0.png, 0, 227, 68
AcrimSAT_1.png, 0, 62, 314
AcrimSAT_2.png, 0, 260, 279
AcrimSAT_3.png, 0, 350, 10
AcrimSAT_4.png, 0, 44, 202
AcrimSAT_5.png, 0, 204, 207
AcrimSAT_6.png, 0, 355, 39
AcrimSAT_7.png, 0, 251, 57
AcrimSAT_8.png, 0, 292, 26
AcrimSAT_9.png, 0, 207, 358
AcrimSAT_10.png, 0, 38, 168
AcrimSAT_11.png, 0, 62, 112
AcrimSAT_12.png, 0, 231, 57
AcrimSAT_13.png, 0, 324, 0
AcrimSAT_14.png, 0, 261, 54
AcrimSAT_15.png, 0, 174, 206
AcrimSAT_16.png, 0, 167, 101
AcrimSAT_17.png, 0, 332, 167
AcrimSAT_18.png, 0, 34, 202
AcrimSAT_19.png, 0, 302, 178
AcrimSAT_20.png, 0, 80, 325
AcrimSAT_21.png, 0, 37, 199
AcrimSAT_22.png, 0, 351, 311
AcrimSAT_23.png, 0, 127, 62
AcrimSAT_24.png, 0, 355, 6
AcrimSAT_25.png, 0, 263, 191
AcrimSAT_26.png, 0, 59, 18
AcrimSAT_27.png, 0, 349, 199
AcrimSAT_28.png, 0, 225, 292
AcrimSAT_29.png, 0, 19, 346
AcrimSAT_30.png, 0, 186, 177
AcrimSAT_31.png, 0, 328, 304
AcrimSAT_32.png, 0, 256, 277
AcrimSAT_33.png, 0, 7, 206
AcrimSAT_34.png, 0, 172, 9
AcrimSAT_35.png, 0, 51, 145
AcrimSAT_36.png, 0, 201, 143
AcrimSAT_37.png, 0, 198, 109
AcrimSAT_38.png, 0, 1, 270
AcrimSAT_39.png, 0, 11, 212
AcrimSAT_40.png, 0, 235, 310
AcrimSAT_41.png, 0, 168, 15
AcrimSAT_42.png, 0, 185, 229
AcrimSAT_43.png, 0, 28, 71
AcrimSAT_44.png, 0, 328, 137
AcrimSAT_45.png, 0, 14, 130
AcrimSAT_46.png, 0, 339, 45
AcrimSAT_47.png, 0, 291, 239
AcrimSAT_48.png, 0, 324, 118
AcrimSAT_49.png, 0, 286, 265
AcrimSAT_50.png, 0, 25, 267
AcrimSAT_51.png, 0, 296, 136
AcrimSAT_52.png, 0, 289, 199
AcrimSAT_53.png, 0, 360, 248
AcrimSAT_54.png, 0, 353, 214
AcrimSAT_55.png, 0, 260, 50
AcrimSAT_56.png, 0, 321, 116
AcrimSAT_57.png, 0, 281, 49
AcrimSAT_58.png, 0, 223, 37
AcrimSAT_59.png, 0, 111, 117
AcrimSAT_60.png, 0, 112, 86
AcrimSAT_61.png, 0, 109, 9
AcrimSAT_62.png, 0, 116, 87
AcrimSAT_63.png, 0, 326, 282
AcrimSAT_64.png, 0, 270, 128
AcrimSAT_65.png, 0, 36, 192
AcrimSAT_66.png, 0, 204, 283
AcrimSAT_67.png, 0, 118, 91
AcrimSAT_68.png, 0, 337, 118
AcrimSAT_69.png, 0, 89, 63
AcrimSAT_70.png, 0, 26, 68
AcrimSAT_71.png, 0, 111, 11
AcrimSAT_72.png, 0, 104, 329
AcrimSAT_73.png, 0, 25, 110
AcrimSAT_74.png, 0, 323, 219
AcrimSAT_75.png, 0, 227, 138
AcrimSAT_76.png, 0, 41, 333
AcrimSAT_77.png, 0, 213, 215
