filename, class_number, a_angle, e_angle
Aqua_0.png, 1, 208, 326
Aqua_1.png, 1, 75, 208
Aqua_2.png, 1, 8, 0
Aqua_3.png, 1, 181, 52
Aqua_4.png, 1, 222, 211
Aqua_5.png, 1, 225, 138
Aqua_6.png, 1, 98, 327
Aqua_7.png, 1, 247, 205
Aqua_8.png, 1, 174, 281
Aqua_9.png, 1, 197, 35
Aqua_10.png, 1, 325, 284
Aqua_11.png, 1, 204, 61
Aqua_12.png, 1, 49, 281
Aqua_13.png, 1, 51, 175
Aqua_14.png, 1, 342, 340
Aqua_15.png, 1, 321, 338
Aqua_16.png, 1, 262, 74
Aqua_17.png, 1, 82, 137
Aqua_18.png, 1, 57, 60
Aqua_19.png, 1, 112, 329
Aqua_20.png, 1, 314, 170
Aqua_21.png, 1, 279, 188
Aqua_22.png, 1, 339, 300
Aqua_23.png, 1, 104, 199
Aqua_24.png, 1, 273, 3
Aqua_25.png, 1, 275, 164
Aqua_26.png, 1, 146, 273
Aqua_27.png, 1, 360, 255
Aqua_28.png, 1, 343, 105
Aqua_29.png, 1, 128, 71
Aqua_30.png, 1, 281, 340
Aqua_31.png, 1, 61, 13
Aqua_32.png, 1, 360, 67
Aqua_33.png, 1, 300, 88
Aqua_34.png, 1, 64, 258
Aqua_35.png, 1, 349, 198
Aqua_36.png, 1, 300, 30
Aqua_37.png, 1, 88, 118
Aqua_38.png, 1, 187, 80
Aqua_39.png, 1, 177, 118
Aqua_40.png, 1, 5, 135
Aqua_41.png, 1, 254, 2
Aqua_42.png, 1, 41, 217
Aqua_43.png, 1, 92, 169
Aqua_44.png, 1, 153, 69
Aqua_45.png, 1, 167, 173
Aqua_46.png, 1, 80, 139
Aqua_47.png, 1, 91, 265
Aqua_48.png, 1, 61, 102
Aqua_49.png, 1, 148, 230
Aqua_50.png, 1, 17, 22
Aqua_51.png, 1, 243, 16
Aqua_52.png, 1, 341, 106
Aqua_53.png, 1, 194, 123
Aqua_54.png, 1, 52, 320
Aqua_55.png, 1, 169, 22
Aqua_56.png, 1, 16, 203
Aqua_57.png, 1, 302, 248
Aqua_58.png, 1, 242, 265
Aqua_59.png, 1, 37, 30
Aqua_60.png, 1, 252, 173
Aqua_61.png, 1, 270, 47
Aqua_62.png, 1, 151, 144
Aqua_63.png, 1, 171, 164
Aqua_64.png, 1, 256, 149
Aqua_65.png, 1, 275, 116
Aqua_66.png, 1, 105, 217
Aqua_67.png, 1, 319, 239
Aqua_68.png, 1, 103, 248
Aqua_69.png, 1, 221, 11
Aqua_70.png, 1, 71, 316
Aqua_71.png, 1, 119, 292
Aqua_72.png, 1, 107, 36
Aqua_73.png, 1, 20, 37
Aqua_74.png, 1, 122, 176
Aqua_75.png, 1, 239, 15
Aqua_76.png, 1, 314, 254
Aqua_77.png, 1, 54, 242
Aqua_78.png, 1, 47, 325
Aqua_79.png, 1, 360, 359
Aqua_80.png, 1, 339, 205
Aqua_81.png, 1, 73, 224
Aqua_82.png, 1, 198, 281
Aqua_83.png, 1, 241, 28
Aqua_84.png, 1, 360, 166
Aqua_85.png, 1, 165, 112
Aqua_86.png, 1, 97, 216
Aqua_87.png, 1, 108, 90
Aqua_88.png, 1, 63, 88
Aqua_89.png, 1, 359, 310
Aqua_90.png, 1, 242, 346
Aqua_91.png, 1, 189, 183
Aqua_92.png, 1, 53, 131
Aqua_93.png, 1, 272, 336
Aqua_94.png, 1, 240, 188
Aqua_95.png, 1, 10, 56
Aqua_96.png, 1, 245, 163
Aqua_97.png, 1, 196, 215
Aqua_98.png, 1, 129, 190
Aqua_99.png, 1, 253, 55
Aqua_100.png, 1, 187, 263
Aqua_101.png, 1, 87, 233
Aqua_102.png, 1, 336, 78
Aqua_103.png, 1, 44, 183
Aqua_104.png, 1, 5, 326
Aqua_105.png, 1, 222, 324
Aqua_106.png, 1, 154, 127
Aqua_107.png, 1, 268, 346
Aqua_108.png, 1, 5, 257
Aqua_109.png, 1, 192, 225
Aqua_110.png, 1, 267, 191
Aqua_111.png, 1, 29, 262
Aqua_112.png, 1, 288, 100
Aqua_113.png, 1, 91, 204
Aqua_114.png, 1, 310, 156
Aqua_115.png, 1, 7, 23
Aqua_116.png, 1, 181, 159
Aqua_117.png, 1, 289, 333
Aqua_118.png, 1, 130, 75
Aqua_119.png, 1, 32, 0
Aqua_120.png, 1, 3, 67
Aqua_121.png, 1, 59, 268
Aqua_122.png, 1, 104, 141
Aqua_123.png, 1, 309, 0
Aqua_124.png, 1, 337, 305
Aqua_125.png, 1, 11, 197
Aqua_126.png, 1, 252, 307
Aqua_127.png, 1, 319, 251
Aqua_128.png, 1, 307, 26
Aqua_129.png, 1, 314, 254
Aqua_130.png, 1, 8, 228
Aqua_131.png, 1, 94, 277
Aqua_132.png, 1, 73, 27
Aqua_133.png, 1, 88, 150
Aqua_134.png, 1, 281, 196
Aqua_135.png, 1, 46, 25
Aqua_136.png, 1, 93, 341
Aqua_137.png, 1, 209, 233
Aqua_138.png, 1, 93, 320
Aqua_139.png, 1, 272, 55
Aqua_140.png, 1, 228, 259
Aqua_141.png, 1, 229, 192
Aqua_142.png, 1, 29, 192
Aqua_143.png, 1, 289, 85
Aqua_144.png, 1, 319, 311
Aqua_145.png, 1, 123, 222
Aqua_146.png, 1, 223, 167
Aqua_147.png, 1, 189, 334
Aqua_148.png, 1, 157, 288
Aqua_149.png, 1, 71, 319
Aqua_150.png, 1, 149, 74
Aqua_151.png, 1, 101, 21
Aqua_152.png, 1, 136, 69
Aqua_153.png, 1, 311, 284
Aqua_154.png, 1, 45, 112
Aqua_155.png, 1, 296, 139
Aqua_156.png, 1, 146, 127
Aqua_157.png, 1, 31, 310
Aqua_158.png, 1, 186, 313
Aqua_159.png, 1, 14, 101
Aqua_160.png, 1, 260, 73
Aqua_161.png, 1, 326, 33
Aqua_162.png, 1, 26, 218
Aqua_163.png, 1, 321, 333
Aqua_164.png, 1, 285, 51
Aqua_165.png, 1, 170, 326
Aqua_166.png, 1, 353, 254
Aqua_167.png, 1, 253, 27
Aqua_168.png, 1, 78, 198
Aqua_169.png, 1, 206, 191
Aqua_170.png, 1, 360, 298
Aqua_171.png, 1, 331, 223
Aqua_172.png, 1, 72, 62
Aqua_173.png, 1, 358, 156
Aqua_174.png, 1, 71, 120
Aqua_175.png, 1, 95, 233
Aqua_176.png, 1, 192, 78
Aqua_177.png, 1, 266, 115
Aqua_178.png, 1, 164, 191
Aqua_179.png, 1, 56, 224
Aqua_180.png, 1, 64, 213
Aqua_181.png, 1, 62, 316
Aqua_182.png, 1, 254, 52
Aqua_183.png, 1, 318, 208
Aqua_184.png, 1, 344, 303
Aqua_185.png, 1, 287, 53
Aqua_186.png, 1, 14, 41
Aqua_187.png, 1, 90, 54
Aqua_188.png, 1, 335, 39
Aqua_189.png, 1, 136, 53
Aqua_190.png, 1, 237, 327
Aqua_191.png, 1, 207, 197
Aqua_192.png, 1, 103, 132
Aqua_193.png, 1, 2, 194
Aqua_194.png, 1, 339, 279
Aqua_195.png, 1, 267, 16
Aqua_196.png, 1, 262, 215
Aqua_197.png, 1, 158, 317
Aqua_198.png, 1, 278, 205
Aqua_199.png, 1, 228, 16
Aqua_200.png, 1, 286, 227
Aqua_201.png, 1, 261, 84
Aqua_202.png, 1, 51, 160
Aqua_203.png, 1, 68, 26
Aqua_204.png, 1, 132, 17
Aqua_205.png, 1, 11, 16
Aqua_206.png, 1, 337, 24
Aqua_207.png, 1, 283, 320
Aqua_208.png, 1, 80, 133
Aqua_209.png, 1, 6, 90
Aqua_210.png, 1, 319, 61
Aqua_211.png, 1, 353, 163
Aqua_212.png, 1, 333, 204
Aqua_213.png, 1, 120, 104
Aqua_214.png, 1, 161, 332
Aqua_215.png, 1, 222, 274
Aqua_216.png, 1, 21, 335
Aqua_217.png, 1, 348, 352
Aqua_218.png, 1, 287, 200
Aqua_219.png, 1, 131, 88
Aqua_220.png, 1, 85, 329
Aqua_221.png, 1, 213, 206
Aqua_222.png, 1, 57, 55
Aqua_223.png, 1, 188, 110
Aqua_224.png, 1, 106, 311
Aqua_225.png, 1, 275, 16
