filename, class_number, a_angle, e_angle
Aura_0.png, 2, 306, 245
Aura_1.png, 2, 103, 77
Aura_2.png, 2, 279, 37
Aura_3.png, 2, 28, 248
Aura_4.png, 2, 121, 100
Aura_5.png, 2, 151, 67
Aura_6.png, 2, 23, 106
Aura_7.png, 2, 215, 112
Aura_8.png, 2, 109, 186
Aura_9.png, 2, 149, 168
Aura_10.png, 2, 358, 320
Aura_11.png, 2, 31, 117
Aura_12.png, 2, 328, 304
Aura_13.png, 2, 318, 154
Aura_14.png, 2, 224, 191
Aura_15.png, 2, 162, 29
Aura_16.png, 2, 186, 83
Aura_17.png, 2, 110, 338
Aura_18.png, 2, 243, 29
Aura_19.png, 2, 336, 265
Aura_20.png, 2, 284, 130
Aura_21.png, 2, 143, 302
Aura_22.png, 2, 142, 221
Aura_23.png, 2, 266, 23
Aura_24.png, 2, 69, 99
Aura_25.png, 2, 320, 204
Aura_26.png, 2, 20, 185
Aura_27.png, 2, 104, 74
Aura_28.png, 2, 186, 353
Aura_29.png, 2, 148, 328
Aura_30.png, 2, 331, 205
Aura_31.png, 2, 81, 339
Aura_32.png, 2, 172, 8
Aura_33.png, 2, 286, 4
Aura_34.png, 2, 170, 211
Aura_35.png, 2, 221, 290
Aura_36.png, 2, 125, 343
Aura_37.png, 2, 348, 165
Aura_38.png, 2, 271, 265
Aura_39.png, 2, 270, 12
Aura_40.png, 2, 159, 288
Aura_41.png, 2, 249, 150
Aura_42.png, 2, 233, 162
Aura_43.png, 2, 9, 61
Aura_44.png, 2, 83, 145
Aura_45.png, 2, 33, 69
Aura_46.png, 2, 287, 244
Aura_47.png, 2, 185, 258
Aura_48.png, 2, 208, 87
Aura_49.png, 2, 275, 108
Aura_50.png, 2, 17, 62
Aura_51.png, 2, 244, 239
Aura_52.png, 2, 195, 49
Aura_53.png, 2, 153, 335
Aura_54.png, 2, 325, 241
Aura_55.png, 2, 75, 268
Aura_56.png, 2, 216, 303
Aura_57.png, 2, 270, 159
Aura_58.png, 2, 265, 295
Aura_59.png, 2, 189, 7
Aura_60.png, 2, 5, 285
Aura_61.png, 2, 242, 55
Aura_62.png, 2, 189, 122
Aura_63.png, 2, 323, 325
