filename, class_number, a_angle, e_angle
Cassini_0.png, 3, 213, 285
Cassini_1.png, 3, 280, 21
Cassini_2.png, 3, 94, 129
Cassini_3.png, 3, 232, 180
Cassini_4.png, 3, 29, 325
Cassini_5.png, 3, 339, 301
Cassini_6.png, 3, 49, 4
Cassini_7.png, 3, 258, 202
Cassini_8.png, 3, 154, 229
Cassini_9.png, 3, 318, 179
Cassini_10.png, 3, 151, 170
Cassini_11.png, 3, 31, 28
Cassini_12.png, 3, 311, 173
Cassini_13.png, 3, 279, 198
Cassini_14.png, 3, 149, 183
Cassini_15.png, 3, 87, 25
Cassini_16.png, 3, 299, 101
Cassini_17.png, 3, 327, 71
Cassini_18.png, 3, 93, 114
Cassini_19.png, 3, 245, 195
Cassini_20.png, 3, 1, 28
Cassini_21.png, 3, 292, 214
Cassini_22.png, 3, 161, 59
Cassini_23.png, 3, 127, 287
Cassini_24.png, 3, 154, 110
Cassini_25.png, 3, 10, 91
Cassini_26.png, 3, 256, 157
Cassini_27.png, 3, 249, 313
Cassini_28.png, 3, 301, 86
Cassini_29.png, 3, 33, 244
Cassini_30.png, 3, 112, 260
Cassini_31.png, 3, 94, 298
Cassini_32.png, 3, 238, 147
Cassini_33.png, 3, 74, 80
Cassini_34.png, 3, 241, 88
Cassini_35.png, 3, 151, 181
Cassini_36.png, 3, 181, 344
Cassini_37.png, 3, 287, 347
Cassini_38.png, 3, 155, 115
Cassini_39.png, 3, 338, 100
Cassini_40.png, 3, 295, 256
Cassini_41.png, 3, 339, 310
Cassini_42.png, 3, 303, 293
Cassini_43.png, 3, 287, 123
Cassini_44.png, 3, 214, 131
Cassini_45.png, 3, 71, 75
Cassini_46.png, 3, 232, 155
Cassini_47.png, 3, 267, 309
Cassini_48.png, 3, 71, 324
Cassini_49.png, 3, 251, 296
Cassini_50.png, 3, 276, 262
Cassini_51.png, 3, 239, 116
Cassini_52.png, 3, 194, 105
Cassini_53.png, 3, 27, 284
Cassini_54.png, 3, 112, 233
Cassini_55.png, 3, 250, 114
Cassini_56.png, 3, 85, 98
Cassini_57.png, 3, 170, 37
Cassini_58.png, 3, 356, 48
Cassini_59.png, 3, 135, 239
Cassini_60.png, 3, 285, 207
Cassini_61.png, 3, 150, 58
Cassini_62.png, 3, 243, 10
Cassini_63.png, 3, 310, 243
Cassini_64.png, 3, 233, 338
Cassini_65.png, 3, 330, 289
Cassini_66.png, 3, 247, 181
Cassini_67.png, 3, 64, 153
Cassini_68.png, 3, 42, 153
Cassini_69.png, 3, 168, 294
Cassini_70.png, 3, 173, 145
Cassini_71.png, 3, 353, 75
Cassini_72.png, 3, 95, 280
Cassini_73.png, 3, 321, 130
Cassini_74.png, 3, 39, 329
Cassini_75.png, 3, 150, 276
Cassini_76.png, 3, 264, 53
Cassini_77.png, 3, 324, 333
Cassini_78.png, 3, 316, 327
Cassini_79.png, 3, 111, 247
Cassini_80.png, 3, 76, 312
Cassini_81.png, 3, 237, 263
Cassini_82.png, 3, 271, 72
Cassini_83.png, 3, 273, 291
Cassini_84.png, 3, 57, 326
Cassini_85.png, 3, 147, 196
Cassini_86.png, 3, 90, 39
Cassini_87.png, 3, 50, 115
Cassini_88.png, 3, 133, 307
Cassini_89.png, 3, 112, 199
Cassini_90.png, 3, 330, 106
Cassini_91.png, 3, 42, 251
Cassini_92.png, 3, 299, 145
Cassini_93.png, 3, 201, 303
Cassini_94.png, 3, 97, 1
Cassini_95.png, 3, 354, 275
Cassini_96.png, 3, 290, 317
Cassini_97.png, 3, 155, 156
Cassini_98.png, 3, 156, 140
