filename, class_number, a_angle, e_angle
Mars Global Surveyor_0.png, 7, 165, 50
Mars Global Surveyor_1.png, 7, 354, 76
Mars Global Surveyor_2.png, 7, 176, 256
Mars Global Surveyor_3.png, 7, 69, 338
Mars Global Surveyor_4.png, 7, 340, 357
Mars Global Surveyor_5.png, 7, 22, 252
Mars Global Surveyor_6.png, 7, 68, 36
Mars Global Surveyor_7.png, 7, 113, 96
Mars Global Surveyor_8.png, 7, 45, 135
Mars Global Surveyor_9.png, 7, 131, 215
Mars Global Surveyor_10.png, 7, 73, 113
Mars Global Surveyor_11.png, 7, 283, 129
Mars Global Surveyor_12.png, 7, 166, 109
Mars Global Surveyor_13.png, 7, 137, 274
Mars Global Surveyor_14.png, 7, 283, 253
Mars Global Surveyor_15.png, 7, 281, 26
Mars Global Surveyor_16.png, 7, 119, 200
Mars Global Surveyor_17.png, 7, 213, 47
Mars Global Surveyor_18.png, 7, 199, 145
Mars Global Surveyor_19.png, 7, 120, 273
Mars Global Surveyor_20.png, 7, 147, 273
Mars Global Surveyor_21.png, 7, 320, 232
Mars Global Surveyor_22.png, 7, 291, 231
Mars Global Surveyor_23.png, 7, 235, 315
Mars Global Surveyor_24.png, 7, 188, 215
Mars Global Surveyor_25.png, 7, 312, 93
Mars Global Surveyor_26.png, 7, 129, 298
Mars Global Surveyor_27.png, 7, 202, 348
Mars Global Surveyor_28.png, 7, 189, 0
Mars Global Surveyor_29.png, 7, 207, 25
Mars Global Surveyor_30.png, 7, 312, 17
Mars Global Surveyor_31.png, 7, 198, 352
Mars Global Surveyor_32.png, 7, 338, 221
Mars Global Surveyor_33.png, 7, 13, 85
Mars Global Surveyor_34.png, 7, 80, 113
Mars Global Surveyor_35.png, 7, 354, 313
Mars Global Surveyor_36.png, 7, 321, 64
Mars Global Surveyor_37.png, 7, 56, 324
Mars Global Surveyor_38.png, 7, 118, 360
Mars Global Surveyor_39.png, 7, 181, 107
Mars Global Surveyor_40.png, 7, 271, 77
Mars Global Surveyor_41.png, 7, 218, 323
Mars Global Surveyor_42.png, 7, 248, 286
Mars Global Surveyor_43.png, 7, 30, 127
Mars Global Surveyor_44.png, 7, 31, 88
Mars Global Surveyor_45.png, 7, 310, 203
Mars Global Surveyor_46.png, 7, 307, 107
Mars Global Surveyor_47.png, 7, 285, 206
Mars Global Surveyor_48.png, 7, 315, 92
Mars Global Surveyor_49.png, 7, 5, 235
Mars Global Surveyor_50.png, 7, 131, 305
Mars Global Surveyor_51.png, 7, 28, 140
Mars Global Surveyor_52.png, 7, 85, 205
Mars Global Surveyor_53.png, 7, 138, 220
Mars Global Surveyor_54.png, 7, 36, 111
Mars Global Surveyor_55.png, 7, 234, 165
Mars Global Surveyor_56.png, 7, 308, 186
Mars Global Surveyor_57.png, 7, 120, 30
Mars Global Surveyor_58.png, 7, 125, 109
Mars Global Surveyor_59.png, 7, 36, 53
Mars Global Surveyor_60.png, 7, 355, 290
Mars Global Surveyor_61.png, 7, 110, 214
Mars Global Surveyor_62.png, 7, 316, 54
Mars Global Surveyor_63.png, 7, 236, 146
Mars Global Surveyor_64.png, 7, 185, 351
Mars Global Surveyor_65.png, 7, 268, 25
Mars Global Surveyor_66.png, 7, 178, 37
Mars Global Surveyor_67.png, 7, 255, 114
Mars Global Surveyor_68.png, 7, 54, 230
Mars Global Surveyor_69.png, 7, 211, 101
Mars Global Surveyor_70.png, 7, 69, 346
Mars Global Surveyor_71.png, 7, 284, 134
Mars Global Surveyor_72.png, 7, 186, 276
Mars Global Surveyor_73.png, 7, 2, 77
Mars Global Surveyor_74.png, 7, 92, 184
Mars Global Surveyor_75.png, 7, 270, 349
Mars Global Surveyor_76.png, 7, 300, 69
Mars Global Surveyor_77.png, 7, 100, 78
Mars Global Surveyor_78.png, 7, 159, 99
Mars Global Surveyor_79.png, 7, 38, 126
Mars Global Surveyor_80.png, 7, 35, 186
Mars Global Surveyor_81.png, 7, 35, 208
Mars Global Surveyor_82.png, 7, 121, 114
Mars Global Surveyor_83.png, 7, 212, 303
Mars Global Surveyor_84.png, 7, 289, 99
Mars Global Surveyor_85.png, 7, 197, 126
Mars Global Surveyor_86.png, 7, 151, 282
Mars Global Surveyor_87.png, 7, 328, 24
Mars Global Surveyor_88.png, 7, 343, 129
Mars Global Surveyor_89.png, 7, 307, 59
Mars Global Surveyor_90.png, 7, 289, 291
Mars Global Surveyor_91.png, 7, 122, 255
Mars Global Surveyor_92.png, 7, 338, 112
Mars Global Surveyor_93.png, 7, 354, 243
Mars Global Surveyor_94.png, 7, 323, 252
Mars Global Surveyor_95.png, 7, 116, 50
Mars Global Surveyor_96.png, 7, 110, 326
Mars Global Surveyor_97.png, 7, 5, 279
Mars Global Surveyor_98.png, 7, 64, 133
Mars Global Surveyor_99.png, 7, 32, 288
Mars Global Surveyor_100.png, 7, 270, 145
Mars Global Surveyor_101.png, 7, 195, 113
Mars Global Surveyor_102.png, 7, 30, 342
Mars Global Surveyor_103.png, 7, 102, 169
Mars Global Surveyor_104.png, 7, 229, 214
Mars Global Surveyor_105.png, 7, 48, 285
Mars Global Surveyor_106.png, 7, 246, 6
Mars Global Surveyor_107.png, 7, 272, 244
Mars Global Surveyor_108.png, 7, 53, 162
Mars Global Surveyor_109.png, 7, 135, 255
Mars Global Surveyor_110.png, 7, 114, 266
Mars Global Surveyor_111.png, 7, 294, 246
Mars Global Surveyor_112.png, 7, 242, 262
Mars Global Surveyor_113.png, 7, 33, 14
Mars Global Surveyor_114.png, 7, 262, 16
Mars Global Surveyor_115.png, 7, 269, 274
Mars Global Surveyor_116.png, 7, 302, 331
Mars Global Surveyor_117.png, 7, 107, 19
Mars Global Surveyor_118.png, 7, 80, 282
Mars Global Surveyor_119.png, 7, 115, 177
Mars Global Surveyor_120.png, 7, 110, 218
Mars Global Surveyor_121.png, 7, 279, 222
Mars Global Surveyor_122.png, 7, 309, 204
Mars Global Surveyor_123.png, 7, 255, 32
Mars Global Surveyor_124.png, 7, 286, 94
Mars Global Surveyor_125.png, 7, 87, 10
Mars Global Surveyor_126.png, 7, 42, 28
Mars Global Surveyor_127.png, 7, 193, 136
Mars Global Surveyor_128.png, 7, 134, 278
Mars Global Surveyor_129.png, 7, 219, 41
Mars Global Surveyor_130.png, 7, 158, 38
Mars Global Surveyor_131.png, 7, 209, 197
Mars Global Surveyor_132.png, 7, 256, 72
Mars Global Surveyor_133.png, 7, 155, 332
Mars Global Surveyor_134.png, 7, 146, 11
Mars Global Surveyor_135.png, 7, 234, 216
Mars Global Surveyor_136.png, 7, 337, 236
Mars Global Surveyor_137.png, 7, 266, 251
Mars Global Surveyor_138.png, 7, 123, 225
Mars Global Surveyor_139.png, 7, 69, 280
Mars Global Surveyor_140.png, 7, 183, 55
Mars Global Surveyor_141.png, 7, 300, 327
Mars Global Surveyor_142.png, 7, 43, 30
Mars Global Surveyor_143.png, 7, 21, 237
Mars Global Surveyor_144.png, 7, 173, 57
Mars Global Surveyor_145.png, 7, 294, 117
Mars Global Surveyor_146.png, 7, 87, 234
Mars Global Surveyor_147.png, 7, 159, 294
Mars Global Surveyor_148.png, 7, 73, 245
Mars Global Surveyor_149.png, 7, 311, 77
Mars Global Surveyor_150.png, 7, 116, 101
Mars Global Surveyor_151.png, 7, 151, 276
Mars Global Surveyor_152.png, 7, 325, 54
Mars Global Surveyor_153.png, 7, 186, 196
Mars Global Surveyor_154.png, 7, 280, 53
Mars Global Surveyor_155.png, 7, 212, 67
Mars Global Surveyor_156.png, 7, 28, 338
Mars Global Surveyor_157.png, 7, 312, 178
Mars Global Surveyor_158.png, 7, 311, 280
Mars Global Surveyor_159.png, 7, 139, 350
Mars Global Surveyor_160.png, 7, 137, 38
Mars Global Surveyor_161.png, 7, 196, 247
Mars Global Surveyor_162.png, 7, 203, 58
Mars Global Surveyor_163.png, 7, 67, 26
Mars Global Surveyor_164.png, 7, 178, 135
Mars Global Surveyor_165.png, 7, 225, 59
Mars Global Surveyor_166.png, 7, 347, 34
Mars Global Surveyor_167.png, 7, 207, 29
Mars Global Surveyor_168.png, 7, 154, 69
Mars Global Surveyor_169.png, 7, 177, 87
