filename, class_number, a_angle, e_angle
Maven_0.png, 9, 337, 29
Maven_1.png, 9, 133, 120
Maven_2.png, 9, 312, 308
Maven_3.png, 9, 159, 297
Maven_4.png, 9, 54, 151
Maven_5.png, 9, 210, 276
Maven_6.png, 9, 98, 165
Maven_7.png, 9, 226, 249
Maven_8.png, 9, 142, 183
Maven_9.png, 9, 229, 30
Maven_10.png, 9, 321, 270
Maven_11.png, 9, 128, 297
Maven_12.png, 9, 184, 71
Maven_13.png, 9, 242, 118
Maven_14.png, 9, 192, 189
Maven_15.png, 9, 283, 250
Maven_16.png, 9, 89, 157
Maven_17.png, 9, 256, 92
Maven_18.png, 9, 193, 218
Maven_19.png, 9, 45, 117
Maven_20.png, 9, 59, 123
Maven_21.png, 9, 93, 15
Maven_22.png, 9, 135, 298
Maven_23.png, 9, 279, 247
Maven_24.png, 9, 260, 26
Maven_25.png, 9, 305, 270
Maven_26.png, 9, 235, 199
Maven_27.png, 9, 12, 250
Maven_28.png, 9, 179, 227
Maven_29.png, 9, 57, 257
Maven_30.png, 9, 130, 278
Maven_31.png, 9, 257, 281
Maven_32.png, 9, 273, 197
Maven_33.png, 9, 325, 157
Maven_34.png, 9, 97, 318
Maven_35.png, 9, 228, 290
Maven_36.png, 9, 104, 54
Maven_37.png, 9, 356, 187
Maven_38.png, 9, 54, 290
Maven_39.png, 9, 332, 284
Maven_40.png, 9, 186, 80
Maven_41.png, 9, 222, 215
Maven_42.png, 9, 253, 271
Maven_43.png, 9, 282, 295
Maven_44.png, 9, 103, 296
Maven_45.png, 9, 315, 298
Maven_46.png, 9, 313, 346
Maven_47.png, 9, 254, 234
Maven_48.png, 9, 350, 13
Maven_49.png, 9, 331, 353
Maven_50.png, 9, 170, 186
Maven_51.png, 9, 116, 232
Maven_52.png, 9, 318, 152
Maven_53.png, 9, 213, 35
Maven_54.png, 9, 112, 245
Maven_55.png, 9, 110, 99
Maven_56.png, 9, 218, 3
Maven_57.png, 9, 93, 230
Maven_58.png, 9, 360, 113
Maven_59.png, 9, 276, 55
Maven_60.png, 9, 234, 315
Maven_61.png, 9, 358, 288
Maven_62.png, 9, 234, 73
Maven_63.png, 9, 18, 272
Maven_64.png, 9, 23, 126
Maven_65.png, 9, 239, 167
Maven_66.png, 9, 190, 203
Maven_67.png, 9, 36, 287
Maven_68.png, 9, 195, 139
Maven_69.png, 9, 162, 262
Maven_70.png, 9, 327, 262
Maven_71.png, 9, 136, 47
Maven_72.png, 9, 84, 260
Maven_73.png, 9, 175, 321
Maven_74.png, 9, 203, 151
Maven_75.png, 9, 251, 20
Maven_76.png, 9, 308, 246
